date,total_views,unique_views
2022-08-11,3,1
2022-08-12,0,0
2022-08-13,0,0
2022-08-14,0,0
2022-08-15,0,0
2022-08-16,6,2
2022-08-17,9,2
2022-08-18,0,0
2022-08-19,4,1
2022-08-20,12,2
2022-08-21,6,1
2022-08-22,2,1
2022-08-23,6,3
2022-08-24,2,1
2022-08-25,26,2
2022-08-26,16,4
2022-08-27,5,2
2022-08-28,4,1
2022-08-29,0,0
2022-08-30,5,2
2022-08-31,1,1
2022-09-01,1,1
2022-09-02,2,1
2022-09-03,0,0
2022-09-04,1,1
2022-09-05,8,2
2022-09-06,15,3
2022-09-07,10,3
2022-09-08,2,2
2022-09-09,1,1
2022-09-10,49,7
2022-09-11,43,5
2022-09-12,184,15
2022-09-13,146,13
2022-09-14,8,3
2022-09-15,0,0
2022-09-16,15,2
2022-09-17,0,0
2022-09-18,1,1
2022-09-19,0,0
